"2004"	192768
"2005"	221868
"2006"	239551
"2007"	244014
"2008"	296550
"2009"	296472
"2010"	484436
"2011"	569848
"2012"	584384
"2013"	774416
"2014"	875340
"2015"	1187872
"2016"	1185811
"2017"	593759
